Outlet Inventory Sheet,,,,,,,
"Mandarin Oriental, Washington DC",,,,,,,
,,,,,,Period :,________________
Product,Product,,Inv.,Inventory,,Purch.,Outlet
,Description,,Cost,Count,Unit,Par,Par
Outlet,262,Empress Lounge Beverage,,By,Location,,
Location,,Unassigned,,,,,
1365,"Scotch, The Balvenie, Single Malt, ""Doublewood"", Speyside, 12 year, Scotland (750 ml)",,$76.48 ,_________,EACH,No Par,No Par
,,,,,,,
1160,"Scotch, Chivas Regal, Blended, Scotland, 12 year (750 ml)",,$38.74 ,_________,EACH,No Par,No Par
,,,,,,,
1373,"Scotch, The Glenlivet, Single Malt, ""The French Oak Reserve"", Speyside, 15 year, Scotland (750 ml)",,$57.99 ,_________,EACH,No Par,No Par
,,,,,,,
1161,"Scotch, Chivas Regal, Blended, ""Gold Signature"", Scotland, 18 year (750 ml)",,$69.24 ,_________,EACH,No Par,No Par
,,,,,,,
1197,"Liqueur, Chartreuse, ""Green"", France (750 ml)",,$43.01 ,_________,EACH,No Par,No Par
,,,,,,,
33048,"Scotch, Lagavulin, Single Malt, ""Distiller's Edition"", Islay, Scotland, 1989, 1L (1000ml)",,$92.99 ,_________,EACH,No Par,No Par
,,,,,,,
1196,"Liqueur, Chartreuse, ""Yellow"", France (750 ml)",,$43.01 ,_________,EACH,No Par,No Par
,,,,,,,
1344,"Scotch, Glenmorangie, Single Malt, ""Extremely Rare"", Highlands, 18 year, Scotland (750 ml)",,$111.35 ,_________,EACH,No Par,No Par
,,,,,,,
10655,"Liqueur, Leopold Bros., Sour Apple, New York (750ml)",,$27.50 ,_________,EACH,No Par,No Par
,,,,,,,
34038,"Scotch, The Macallan, Single Malt, ""Rare Cask"", Highlands, Scotland (750ml)",,$251.00 ,_________,EACH,No Par,No Par
,,,,,,,
1412,"Liqueur, Leopold Bros., Michigan Tart Cherry, Denver, Colorado (750 ml)",,$68.64 ,_________,EACH,No Par,No Par
,,,,,,,
1345,"Scotch, Glenmorangie, Single Malt, ""Quinta Ruban"", Highlands, 12 year, Scotland (750 ml)",,$48.35 ,_________,EACH,No Par,No Par
,,,,,,,
28057,"Herbal Liqueur, Leopold Bros., ""Three Pins"", Denver, Colorado (750ml)",,$27.50 ,_________,EACH,No Par,No Par
,,,,,,,
1363,"Scotch, The Arran, Single Malt, Isle of Arran, 10 year, Scotland (750 ml)",,$37.33 ,_________,EACH,No Par,No Par
,,,,,,,
1210,"Liqueur, Grand Marnier, ""Cuvée du Cent Cinquantenaire"", France (750 ml)",,$175.99 ,_________,EACH,No Par,No Par
