Outlet Inventory Sheet,,,,,,,
"Mandarin Oriental, Washington DC",,,,,,,
,,,,,,Period :,________________
Product,Product,,Inv.,Inventory,,Purch.,Outlet
,Description,,Cost,Count,Unit,Par,Par
Outlet,262,Empress Lounge Beverage,,By,Location,,
Location,,Unassigned,,,,,
,,,,,,,
1407,"Whiskey, WhistlePig, Straight Rye, Canada, 10 year (750 ml)",,$28.00 ,_________,EACH,No Par,No Par
,,,,,,,
1423,"Straight Bourbon, Jefferson's, ""Reserve"", Kentucky (750 ml)",,$43.78 ,_________,EACH,No Par,No Par
,,,,,,,
1072,"Fonseca, Tawny Port, ""20 Year Old"", Porto, Douro, Portugal, NV (750 ml)",,$41.24 ,_________,EACH,No Par,No Par
,,,,,,,
392,"Frog's Leap, Chardonnay, Napa Valley, California, 2011 (750 ml)",,$17.99 ,_________,EACH,No Par,No Par
,,,,,,,
34381,"Tequila, DeLeón, Añejo, Mexico (750ml)",,$45.63 ,_________,EACH,No Par,No Par
,,,,,,,
33366,"Sho Chiku Bai, Junmai, ""Classic"", Japan (750ml)",,$6.58 ,_________,EACH,No Par,No Par
,,,,,,,
10529,"Rum, Amrut, ""Old Port Deluxe"", India (750ml)",,$0.00 ,_________,EACH,No Par,No Par
,,,,,,,
7550,"Fernet, Leopold Bros., ""Highland Amaro"", Denver, Colorado (750 ml)",,$25.50 ,_________,EACH,No Par,No Par
,,,,,,,
7535,"Pisco, Don Benedicto, Quebranta, Perú (750 ml)",,$35.00 ,_________,EACH,No Par,No Par
,,,,,,,
1165,"Amaro, Santa Maria al Monte, Genoa, Italy (750 ml)",,$26.67 ,_________,EACH,No Par,No Par
,,,,,,,
1267,"Fernet, Fernet-Branca, Italy (750 ml)",,$27.96 ,_________,EACH,No Par,No Par
,,,,,,,
1177,"Rum, Pyrat, XO, Anguilla, Reserve, British West Indies (750 ml)",,$25.32 ,_________,EACH,No Par,No Par
,,,,,,,
1291,"Tequila, Don Julio, Reposado, Mexico (750 ml)",,$48.99 ,_________,EACH,No Par,No Par
,,,,,,,
38176,"Straight Bourbon, Garrison Brothers, Texas, Fall 2014 (750ml)",,$75.62 ,_________,EACH,No Par,No Par
,,,,,,,
11672,"Straight Bourbon, Four Roses, ""Small Batch"", Kentucky (750ml)",,$23.79 ,_________,EACH,No Par,No Par
,,,,,,,
39208,"Beran, Zinfandel, California (750ml)",,$12.00 ,_________,EACH,No Par,No Par
,,,,,,,
19388,"Straight Bourbon, Elijah Craig, ""Small Batch Barrel Proof"", 12 year, Kentucky (750ml)",,$43.37 ,_________,EACH,No Par,No Par
,,,,,,,
11719,"Tequila, Patrón, Reposado, Jalisco, Mexico (750ml)",,$44.49 ,_________,EACH,No Par,No Par
,,,,,,,
8133,"Whisky, Yamazaki, Single Malt, Japan, 12 year (750 ml)",,$71.24 ,_________,EACH,No Par,No Par
,,,,,,,
34509,"Tequila, Patrón, Reposado, ""Roca"", Mexico (750ml)",,$60.93 ,_________,EACH,No Par,No Par
,,,,,,,
11731,"Rum, Ron Zacapa, Solera, ""Centenario XO"", Guatemala, Grand Reserva Especial (750ml)",,$82.35 ,_________,EACH,No Par,No Par
,,,,,,,
11720,"Tequila, Patrón, Silver, ""Gran Patrón Platinum"", Jalisco, Mexico (750ml)",,$151.49 ,_________,EACH,No Par,No Par
,,,,,,,
1194,"Armagnac, Castarède, Armagnac, France, 1955 (750 ml)",,$197.50 ,_________,EACH,No Par,No Par
,,,,,,,
44558,"Whiskey, Willett, Rye, ""Family Estate Bottled Single Barrel"", Kentucky (750ml)",,$33.00 ,_________,EACH,No Par,No Par
,,,,,,,
14562,"Straight Bourbon, Bulleit, ""Frontier Whiskey"", 10 year, Kentucky (750ml)",,$41.35 ,_________,EACH,No Par,No Par
,,,,,,,
14561,"Whiskey, Bulleit, Straight Rye, ""Small Batch 95 Frontier Whiskey"", Kentucky, 1L (1000ml)",,$35.35 ,_________,EACH,No Par,No Par
,,,,,,,
44557,"Straight Bourbon, Willett, ""Pot Still Reserve"", Kentucky (750ml)",,$33.33 ,_________,EACH,No Par,No Par
,,,,,,,
44612,"Torresella, Prosecco, Veneto, Italy (750ml)",,$9.00 ,_________,EACH,No Par,No Par
,,,,,,,
44720,"Bottega Vinaia, Pinot Grigio, Trentino, Italy, 2014 (750ml)",,$10.00 ,_________,EACH,No Par,No Par
,,,,,,,
45707,"Straight Bourbon, Woodford Reserve, ""Double Oaked"", Kentucky (750ml)",,$46.00 ,_________,EACH,No Par,No Par
,,,,,,,
45708,"Bourbon, Woodford Reserve, White Corn, ""Master's Collection 1838 Style"", Kentucky (750ml)",,$39.16 ,_________,EACH,No Par,No Par
,,,,,,,
45709,"Straight Whiskey, Woodford Reserve, Rye, Kentucky (750ml)",,$32.14 ,_________,EACH,No Par,No Par
,,,,,,,
45647,"Rum, The Kraken, Black Spiced, ""Black Label"", Caribbean Islands (750ml)",,$19.37 ,_________,EACH,No Par,No Par
,,,,,,,
45606,"Tequila, Maestro Dobel, Reposado, ""Diamond"", Mexico (750ml)",,$36.25 ,_________,EACH,No Par,No Par
,,,,,,,
462,"Bodega Catena Zapata, Malbec, ""Catena"", Mendoza, Argentina, 2011, 375ml (375 ml)",,$8.67 ,_________,EACH,No Par,No Par
,,,,,,,
1078,"Taylor Fladgate, Tawny Port, ""10 Year Old"", Porto, Douro, Portugal, NV (750 ml)",,$26.24 ,_________,EACH,No Par,No Par
,,,,,,,
38594,"Poema, Brut Rosé, Cava, Catalonia, Spain, NV (750ml)",,$5.99 ,_________,EACH,No Par,No Par
,,,,,,,
7974,"Piper-Heidsieck, Brut, Champagne, France, NV (750 ml)",,$33.33 ,_________,EACH,No Par,No Par
,,,,,,,
9760,"Piper-Heidsieck, Demi-Sec, ""Sublime"", Champagne, France, NV (750 ml)",,$33.99 ,_________,EACH,No Par,No Par
,,,,,,,
1292,"Tequila, Don Julio, Blanco, Mexico (750 ml)",,$41.93 ,_________,EACH,No Par,No Par
,,,,,,,
97,"Domaine Carneros, Brut, Carneros, California, 2009 (750 ml)",,$26.00 ,_________,EACH,No Par,No Par
,,,,,,,
47774,"Beringer, Cabernet Sauvignon, Knights Valley, California (750ml)",,$16.00 ,_________,EACH,No Par,No Par
,,,,,,,
11480,"Stags' Leap Winery, Chardonnay, Napa Valley, California, 2011 (750ml)",,$16.00 ,_________,EACH,No Par,No Par
,,,,,,,
36512,"Louis Jadot, Mâcon-Villages, Burgundy, France (750ml)",,$8.69 ,_________,EACH,No Par,No Par
,,,,,,,
1204,"Vermouth, Dolin, Blanc, France, NV (750 ml)",,$9.75 ,_________,EACH,No Par,No Par
,,,,,,,
49476,"Bodegas Bilbainas, ""Viña Pomal"", Rioja, Reserva, Spain, 2011 (750ml)",,$10.56 ,_________,EACH,No Par,No Par
,,,,,,,
50789,"Domaine Carneros, Brut, Carneros, California, 2014 (750ml)",,$18.49 ,_________,EACH,No Par,No Par
,,,,,,,
49475,"Martín Códax, Albariño, Rías Baixas, Galicia, Spain, 2015 (750ml)",,$10.00 ,_________,EACH,No Par,No Par
,,,,,,,
49522,"Lamberti, Pinot Bianco/Pinot Nero/Raboso, Rosé Spumante, Italy, NV (750ml)",,$10.00 ,_________,EACH,No Par,No Par
,,,,,,,
19436,"Whiskey, Rittenhouse, Straight Rye, ""Famous"", Kentucky (750ml)",,$21.49 ,_________,EACH,No Par,No Par
,,,,,,,
52025,"Gloria Ferrer, Brut Rosé, Sonoma County, California, NV (750ml)",,$16.00 ,_________,EACH,No Par,No Par
,,,,,,,
19409,"Straight Whiskey, Knob Creek, Rye, ""Small Batch"", Kentucky (750ml)",,$41.39 ,_________,EACH,No Par,No Par
,,,,,,,
49090,"Straight Bourbon, Old Forester, Kentucky, 1L (1000ml)",,$16.11 ,_________,EACH,No Par,No Par
,,,,,,,
52178,"Bourbon, Hudson, ""Baby"", New York (750ml)",,$40.69 ,_________,EACH,No Par,No Par
,,,,,,,
52179,"Whiskey, Hudson, Rye, ""Maple Cask"", New York (750ml)",,$45.36 ,_________,EACH,No Par,No Par
,,,,,,,
51038,"Murrieta's Well, Dry Rosé, ""Small Lot"", Livermore Valley, California, 2016 (750ml)",,$13.33 ,_________,EACH,No Par,No Par
,,,,,,,
52946,"Rum, Captain Morgan, ""Cannon Blast"", Connecticut, 1L (1000ml)",,$17.99 ,_________,EACH,No Par,No Par
,,,,,,,
44659,"Whisky, Amrut, Single Malt, ""Fusion"", India (750ml)",,$40.00 ,_________,EACH,No Par,No Par
,,,,,,,
14537,"Bourbon, Angel's Envy, Kentucky (750ml)",,$39.05 ,_________,EACH,No Par,No Par
,,,,,,,
35901,"Whiskey, Angel's Envy, Rye, ""Caribbean Rum Cask Finished"", Kentucky (750ml)",,$70.86 ,_________,EACH,No Par,No Par
,,,,,,,
53909,"Markham, Merlot, Napa Valley, California, 2014 (750ml)",,$15.50 ,_________,EACH,No Par,No Par
,,,,,,,
53910,"Chateau Lafite Monteil, Bordeaux Supérieur, Bordeaux, France, 2011 (750ml)",,$2.26 ,_________,EACH,No Par,No Par
,,,,,,,
52028,"A by Acacia, Rosé, California, 2015 (750ml)",,$7.50 ,_________,EACH,No Par,No Par
,,,,,,,
14756,"Whisky, Yamazaki, Single Malt, Japan, 18 year (750ml)",,$71.24 ,_________,EACH,No Par,No Par
,,,,,,,
59379,"Mezcal, Ilegal, Reposado Espadín, Oaxaca, Mexico (750ml)",,$37.19 ,_________,EACH,No Par,No Par
,,,,,,,
44723,"Steele, Pinot Noir, Carneros, California, 2013 (750ml)",,$11.00 ,_________,EACH,No Par,No Par
,,,,,,,
59378,"Mezcal, Ilegal, Jóven Espadín, Oaxaca, Mexico (750ml)",,$35.20 ,_________,EACH,No Par,No Par
,,,,,,,
60239,"Fudo Myoo, Junmai Ginjo, Oregon, 375ml (375ml)",,$6.01 ,_________,EACH,No Par,No Par
,,,,,,,
60241,"TY KU, Junmai Ginjo, ""Black"", Japan, 720ml (720ml)",,$21.49 ,_________,EACH,No Par,No Par
,,,,,,,
60240,"TY KU, Cucumber, Nara, Japan, 720ml (720ml)",,$11.54 ,_________,EACH,No Par,No Par
,,,,,,,
55492,"Rihaku Shuzo, Nigori, ""Dreamy Clouds"", Shimane, Japan, 300ml (300ml)",,$10.99 ,_________,EACH,No Par,No Par
,,,,,,,
60088,"Konteki, Daiginjo, ""Tears of Dawn"", Kyoto, Japan, 300ml (300ml)",,$3.42 ,_________,EACH,No Par,No Par
,,,,,,,
49523,"Lamberti, Rosé Spumante, Delle Venezie, Italy, NV (750ml)",,$0.00 ,_________,EACH,No Par,No Par
,,,,,,,
62794,"Matchbook, Syrah, Dunnigan Hills, California, 2013 (750ml)",,$9.07 ,_________,EACH,No Par,No Par
,,,,,,,
40820,"Straight Bourbon, Elijah Craig, ""Small Batch"", Kentucky (750ml)",,$0.00 ,_________,EACH,No Par,No Par
,,,,,,,
67909,"Bodega Catena Zapata, Malbec, ""Catena"", Vista Flores, Mendoza, Argentina, 2015 (750ml)",,$9.50 ,_________,EACH,No Par,No Par
,,,,,,,
68182,"Cave de Lugny, Chardonnay, ""Les Charmes"", Mâcon-Lugny, Burgundy, France, 2016 (750ml)",,$11.68 ,_________,EACH,No Par,No Par
,,,,,,,
68322,"Momokawa, Junmai Ginjo, Organic, Oregon (750ml)",,$5.99 ,_________,EACH,No Par,No Par
,,,,,,,
71892,"Absinthe, Vieux Carré, Supérieure, Philadelphia, Pennsylvania (750ml)",,$46.36 ,_________,EACH,No Par,No Par
,,,,,,,
20123,"Rum, Diplomático, ""Reserva Exclusiva"", Venezuela (750ml)",,$34.23 ,_________,EACH,No Par,No Par
,,,,,,,
72755,"Piper-Heidsieck, Brut, ""Cuvée 1785"", Champagne, France, NV (750ml)",,$25.00 ,_________,EACH,No Par,No Par
,,,,,,,
85,"Vilmart, Ratafia, Champagne, France, NV (750 ml)",,$38.67 ,_________,EACH,No Par,No Par
,,,,,,,
8131,"Port City Brewing, Pale Ale, ""Essential"", Alexandria, Virginia, [12oz Bottle] (24/12 OZ)",,$1.43 ,_________,BOTTLE,No Par,No Par
,,,,,,,
44722,"Chateau Ste. Michelle & Dr. Loosen, Riesling, ""Eroica"", Columbia Valley, Washington, 2014 (750ml)",,$10.75 ,_________,EACH,No Par,No Par
,,,,,,,
7500,"Scotch, Chivas Regal, Blended, Scotland, 12 year, 1L (1000 ml)",,$38.74 ,_________,EACH,No Par,No Par
,,,,,,,
44611,"Matua Valley, Sauvignon Blanc, Marlborough, New Zealand, 2014 (750ml)",,$8.00 ,_________,EACH,No Par,No Par
,,,,,,,
58598,"Scotch, Johnnie Walker, Blended, ""Platinum Label"", Scotland, 18 year (750ml)",,$70.00 ,_________,EACH,No Par,No Par
,,,,,,,
50836,"Terrazas de los Andes, Malbec, ""Altos Del Plata"", Mendoza, Argentina (750ml)",,$6.99 ,_________,EACH,No Par,No Par
,,,,,,,
3451,"Other, Cordial Elderflower Belvoir (6/16.8 OZ)",,$5.92 ,_________,BOTTLE,No Par,No Par
,,,,,,,
14659,"Scotch, Johnnie Walker, Blended, ""Black Label"", Scotland, 12 year (750ml)",,$34.99 ,_________,EACH,No Par,No Par
,,,,,,,
3361,"Other, Bitters Angostura (12/10 OZ)",,$11.06 ,_________,BOTTLE,No Par,No Par
,,,,,,,
1231,"Vermouth, Noilly Prat, Sweet, ""Ambré"", France (750 ml)",,$10.00 ,_________,EACH,No Par,No Par
,,,,,,,
10710,"Bitters, Peychaud's, New Orleans, Louisiana, 10oz (10oz)",,$4.69 ,_________,EACH,No Par,No Par
,,,,,,,
76072,"Scotch, The Macallan, Single Malt, ""Gold"", Highland, Scotland (750ml)",,$51.36 ,_________,EACH,No Par,No Par
,,,,,,,
77690,"Barons de Rothschild (Lafite), ""Légende"", Bordeaux, France, 2016 (750ml)",,$10.03 ,_________,EACH,No Par,No Par
,,,,,,,
66399,"Les Cassagnes de la Nerthe, Côtes du Rhône-Villages, Rhône, France, 2015 (750ml)",,$11.36 ,_________,EACH,No Par,No Par
,,,,,,,
1391,"Tennessee Whiskey, Jack Daniel's, ""Old No.7"", Lynchburg, Tennessee, 1L (1000 ml)",,$30.47 ,_________,EACH,No Par,No Par
,,,,,,,
1243,"Calvados, Busnel, Hors d'Age, Pays d'Auge, 12 year, Normandy, France (750 ml)",,$28.13 ,_________,EACH,No Par,No Par
,,,,,,,
49533,"Gin, The Botanist, Dry, Islay, Scotland (750ml)",,$34.15 ,_________,EACH,No Par,No Par
,,,,,,,
10036,"Liqueur, Rothman & Winter, Crème de Violette, Austria (750 ml)",,$10.99 ,_________,EACH,No Par,No Par
,,,,,,,
7850,"Liqueur, Rothman & Winter, Orchard Apricot, Austria (750 ml)",,$18.20 ,_________,EACH,No Par,No Par
,,,,,,,
1240,"Eau-de-Vie, Trimbach, Framboise, France (750 ml)",,$25.84 ,_________,EACH,No Par,No Par
,,,,,,,
7552,"Liqueur, Hum, ""Botanical Spirit"", USA (750 ml)",,$27.00 ,_________,EACH,No Par,No Par
,,,,,,,
7549,"The Bitter Truth, Sloe Gin, Germany (750 ml)",,$21.60 ,_________,EACH,No Par,No Par
,,,,,,,
11639,"Scotch, Cragganmore, Single Malt, Speyside, 12 year, Scotland (750ml)",,$52.99 ,_________,EACH,No Par,No Par
,,,,,,,
76397,"Scotch, The Macallan, Single Malt, ""Double Cask"", Highland, 12 year, Scotland (750ml)",,$0.00 ,_________,EACH,No Par,No Par
,,,,,,,
32501,"Chalk Hill, Sauvignon Blanc, Chalk Hill, California, 2012 (750ml)",,$14.99 ,_________,EACH,No Par,No Par
,,,,,,,
5,"Agrapart & Fils, Rosé, ""Les Demoiselles"", Champagne, France, NV (750 ml)",,$46.66 ,_________,EACH,No Par,No Par
,,,,,,,
59380,"Tequila, Cazadores, Añejo, Mexico, 1L (1000ml)",,$33.67 ,_________,EACH,No Par,No Par
,,,,,,,
1284,"Rum, Appleton Estate, ""Special"", Jamaica, 1L (1000 ml)",,$22.03 ,_________,EACH,No Par,No Par
,,,,,,,
78239,"DC Brau, IPA, Hazy, ""Joint Resolution"", Washington D.C., USA, [12oz] (12oz)",,$1.44 ,_________,EACH,No Par,No Par
,,,,,,,
78463,"Whisky, Suntory, ""Toki"", Japan (750ml)",,$42.21 ,_________,EACH,No Par,No Par
,,,,,,,
78462,"Whisky, Hibiki, Blended Malt, ""Japanese Harmony"", Japan (750ml)",,$73.24 ,_________,EACH,No Par,No Par
,,,,,,,
1337,"Scotch, Dewar's, Blended, ""White Label"", Scotland, 1L (1000 ml)",,$28.30 ,_________,EACH,No Par,No Par
,,,,,,,
1145,"Bitters, Angostura Bitters, ""Aromatic"", Trinidad & Tobago, 2, 10oz (12/10 oz)",,$156.25 ,_________,EACH,No Par,No Par
,,,,,,,
10709,"Becherovka, Carlsbad, Czech Republic (750ml)",,$22.99 ,_________,EACH,No Par,No Par
,,,,,,,
80309,"Gérard Bertrand, Brut Rosé, ""Cuvée Thomas Jefferson"", Crémant de Limoux, Languedoc, France, NV (750ml)",,$22.50 ,_________,EACH,No Par,No Par
,,,,,,,
71141,"Dolce, Late Harvest, Napa Valley, California, 2012, 375ml (375ml)",,$43.04 ,_________,EACH,No Par,No Par
,,,,,,,
67825,"Liqueur, Suze, ""Saveur d'Autrefois"", France, 1L (1000ml)",,$23.44 ,_________,EACH,No Par,No Par
,,,,,,,
60089,"Tozai, Plum, ""Blossom of Peace"", 720ml (720ml)",,$12.00 ,_________,EACH,No Par,No Par
,,,,,,,
36851,"Duckhorn, Merlot, Napa Valley, California (750ml)",,$23.18 ,_________,EACH,No Par,No Par
,,,,,,,
27710,"Charles Heidsieck, Brut, Champagne, France, 2000 (750ml)",,$38.00 ,_________,EACH,No Par,No Par
,,,,,,,
553,"Domaine Bertagna, ""Clos de la Perrière"", Vougeot, Premier Cru, Burgundy, France, 2008 (750 ml)",,$105.00 ,_________,EACH,No Par,No Par
,,,,,,,
399,"Joel Gott, Sauvignon Blanc, California, 2012 (750 ml)",,$7.99 ,_________,EACH,No Par,No Par
,,,,,,,
59418,"Domaine Bertagna, ""Les Dames Huguettes"", Bourgogne Hautes-Côtes de Nuits, Burgundy, France, 2015 (750ml)",,$24.16 ,_________,EACH,No Par,No Par
,,,,,,,
35244,"Canyon Road, Sauvignon Blanc, California, 2010 (750ml)",,$4.25 ,_________,EACH,No Par,No Par
,,,,,,,
44344,"Veuve Clicquot, Brut, Champagne, France, Vintage (750ml)",,$32.99 ,_________,EACH,No Par,No Par
,,,,,,,
54534,"Dom Pérignon, Brut, Champagne, France, Vintage (750ml)",,$0.00 ,_________,EACH,No Par,No Par
,,,,,,,
50808,"Canyon Road, Pinot Grigio, California (750ml)",,$4.25 ,_________,EACH,No Par,No Par
,,,,,,,
36270,"Canyon Road, Merlot, California (750ml)",,$4.50 ,_________,EACH,No Par,No Par
,,,,,,,
50986,"Paraduxx, Red, Howell Mountain, California, 2013, 375ml (375ml)",,$17.99 ,_________,EACH,No Par,No Par
,,,,,,,
44718,"Faust, Cabernet Sauvignon, Napa Valley, California, 2012 (750ml)",,$33.00 ,_________,EACH,No Par,No Par
,,,,,,,
76,"Veuve Clicquot, Brut, ""Yellow Label"", Champagne, France, NV, 375ml (375 ml)",,$25.19 ,_________,EACH,No Par,No Par
,,,,,,,
50837,"El Viejo del Valle, Pinot Noir, Valle Central, Chile (750ml)",,$6.33 ,_________,EACH,No Par,No Par
,,,,,,,
7972,"Veuve Clicquot, Brut Rosé, Champagne, France, NV (750 ml)",,$61.99 ,_________,EACH,No Par,No Par
,,,,,,,
14587,"Tequila, Corzo, Silver, Mexico (750ml)",,$45.49 ,_________,EACH,No Par,No Par
,,,,,,,
81930,"Scotch, Glenmorangie, Single Malt, ""Quinta Ruban"", Highlands, 12 year, Scotland (750ml)",,$0.00 ,_________,EACH,No Par,No Par
,,,,,,,
81757,"Whiskey, WhistlePig, Rye, ""Piggyback"", Canada, 6 year (750ml)",,$29.45 ,_________,EACH,No Par,No Par
,,,,,,,
81171,"Rum, Old Line, Aged, ""Caribbean"", Dominican Republic, 7 year (750ml)",,$56.66 ,_________,EACH,No Par,No Par
,,,,,,,
81173,"Gin, One Eight Distilling, American Dry, ""District Made Ivy City"", Washington D.C., USA (750ml)",,$22.70 ,_________,EACH,No Par,No Par
,,,,,,,
81758,"Whiskey, WhistlePig, Straight Rye, ""Old World Cask Finish"", Vermont, 12 year, USA (750ml)",,$89.35 ,_________,EACH,No Par,No Par
,,,,,,,
81162,"Bourbon, Jos. A. Magnus & Co., ""Murray Hill Club"", USA (750ml)",,$70.99 ,_________,EACH,No Par,No Par
,,,,,,,
81149,"Bourbon, Falls Church Distillers, ""Church"", Virginia (750ml)",,$36.02 ,_________,EACH,No Par,No Par
,,,,,,,
81151,"Whiskey, Falls Church Distillers, ""Church"", Virginia (750ml)",,$24.80 ,_________,EACH,No Par,No Par
,,,,,,,
81150,"Gin, Falls Church Distillers, ""Great Falls"", Virginia (750ml)",,$23.15 ,_________,EACH,No Par,No Par
,,,,,,,
81163,"Gin, Jos. A. Magnus & Co., Dry, ""Vigilant"", West Virginia (750ml)",,$25.99 ,_________,EACH,No Par,No Par
,,,,,,,
81164,"Straight Bourbon, Jos. A. Magnus & Co., West Virginia (750ml)",,$70.99 ,_________,EACH,No Par,No Par
,,,,,,,
81152,"Gin, Filibuster, ""Dual Cask"", Virginia (750ml)",,$30.16 ,_________,EACH,No Par,No Par
,,,,,,,
1432,"Gin, Aviation, Portland, Oregon (750 ml)",,$25.19 ,_________,EACH,No Par,No Par
,,,,,,,
81759,"Whiskey, WhistlePig, Straight Rye, ""Double Malt"", Canada, 18 year (750ml)",,$300.35 ,_________,EACH,No Par,No Par
,,,,,,,
81168,"Whiskey, McClintock Distilling Company, White, ""Maryland-Heritage"", Frederick, Maryland (750ml)",,$23.49 ,_________,EACH,No Par,No Par
,,,,,,,
81167,"Vodka, McClintock Distilling Company, ""Epiphany"", Frederick, Maryland (750ml)",,$19.32 ,_________,EACH,No Par,No Par
,,,,,,,
35963,"Bella Sera, Pinot Grigio, Veneto, Italy, 2011 (750ml)",,$4.50 ,_________,EACH,No Par,No Par
,,,,,,,
81175,"Straight Bourbon, One Eight Distilling, ""District Made"", Washington D.C., USA (750ml)",,$38.25 ,_________,EACH,No Par,No Par
,,,,,,,
50807,"Force of Nature, Cabernet Sauvignon, ""Moss Fire Ranch"", Paso Robles, California (750ml)",,$13.33 ,_________,EACH,No Par,No Par
,,,,,,,
81181,"Whisky, Virginia Distillery, ""Cider Cask"", Virginia (750ml)",,$47.36 ,_________,EACH,No Par,No Par
,,,,,,,
53613,"Chéreau-Carré, Muscadet de Sèvre et Maine, Loire, France, 2015 (750ml)",,$10.67 ,_________,EACH,No Par,No Par
,,,,,,,
81922,"Vodka, One Eight Distilling, ""District Made"", Washington D.C., USA (750ml)",,$0.00 ,_________,EACH,No Par,No Par
,,,,,,,
81179,"Bourbon, Ragged Branch, Rye, Virginia (750ml)",,$30.99 ,_________,EACH,No Par,No Par
,,,,,,,
81182,"Whisky, Virginia Sweetwater Distillery, ""War Horn"", Virginia (750ml)",,$19.99 ,_________,EACH,No Par,No Par
,,,,,,,
81148,"Whisky, Appalachian Mountain, Single Malt, ""Revelations"", Virginia (750ml)",,$42.66 ,_________,EACH,No Par,No Par
,,,,,,,
81180,"Straight Bourbon, Ragged Branch, Wheated, Virginia (750ml)",,$30.99 ,_________,EACH,No Par,No Par
,,,,,,,
81154,"Whiskey, Filibuster, ""Boondoggler"", Virginia (750ml)",,$27.66 ,_________,EACH,No Par,No Par
,,,,,,,
81153,"Straight Bourbon, Filibuster, ""Dual Cask"", Virginia (750ml)",,$32.99 ,_________,EACH,No Par,No Par
,,,,,,,
81170,"American Whiskey, Old Line, Single Malt, ""Cask Strength"", Baltimore, Maryland (750ml)",,$49.99 ,_________,EACH,No Par,No Par
,,,,,,,
81169,"American Whiskey, Old Line, Single Malt, Baltimore, Maryland (750ml)",,$37.99 ,_________,EACH,No Par,No Par
,,,,,,,
60238,"Domaine Faiveley, Mercurey, Burgundy, France (750ml)",,$22.66 ,_________,EACH,No Par,No Par
,,,,,,,
81178,"Rum, Prichard's Distillery, ""Crystal"", Tennessee (750ml)",,$20.99 ,_________,EACH,No Par,No Par
,,,,,,,
386,"Far Niente, Chardonnay, Napa Valley, California, 2011 (750 ml)",,$38.49 ,_________,EACH,No Par,No Par
,,,,,,,
66398,"Saget La Perrière, ""Marie de Beauregard"", Vouvray, Loire, France, 2015 (750ml)",,$11.99 ,_________,EACH,No Par,No Par
,,,,,,,
83146,"Domaine de la Perrière, Sancerre, Loire, France, 2014 (750ml)",,$19.99 ,_________,EACH,No Par,No Par
,,,,,,,
169,"Bzikot Père & Fils, Puligny-Montrachet, Burgundy, France, 2009 (750 ml)",,$15.83 ,_________,EACH,No Par,No Par
,,,,,,,
263,"Pascal Jolivet, Sancerre, Loire, France, 2012 (750 ml)",,$24.67 ,_________,EACH,No Par,No Par
,,,,,,,
147,"Trimbach, Riesling, ""Clos Ste. Hune"", Alsace, France, 2004 (750 ml)",,$13.99 ,_________,BOTTLE,No Par,No Par
,,,,,,,
80308,"Gérard Bertrand, Brut, ""Cuvée Thomas Jefferson"", Crémant de Limoux, Languedoc, France, 2015 (750ml)",,$11.33 ,_________,EACH,No Par,No Par
,,,,,,,
36837,"Migration by Duckhorn, Chardonnay, Sonoma Coast, California (750ml)",,$18.00 ,_________,EACH,No Par,No Par
,,,,,,,
51667,"Tiefenbrunner, Pinot Grigio, Vigneti delle Dolomiti, Trentino, Italy, 2015, 375ml (375ml)",,$6.67 ,_________,EACH,No Par,No Par
,,,,,,,
450,"Chehalem, Pinot Gris, ""Reserve"", Willamette Valley, Oregon, 2011 (750 ml)",,$13.33 ,_________,EACH,No Par,No Par
,,,,,,,
83658,"Opus One, Napa Valley, California, 2016 (750ml)",,$225.49 ,_________,EACH,No Par,No Par
,,,,,,,
48810,"Ao Yun, China (750ml)",,$214.99 ,_________,EACH,No Par,No Par
,,,,,,,
81888,"Jean Chartron, ""Les Benoites"", Chassagne-Montrachet, Burgundy, France (750ml)",,$0.00 ,_________,EACH,No Par,No Par
,,,,,,,
82035,"Tequila, Patrón, Añejo, ""Roca"", Mexico (750ml)",,$69.99 ,_________,EACH,No Par,No Par
,,,,,,,
46228,"Newton, Chardonnay, ""Skyside"", North Coast, California (750ml)",,$9.99 ,_________,EACH,No Par,No Par
,,,,,,,
31665,"Poema, Brut, Cava, Catalonia, Spain, NV (750ml)",,$6.33 ,_________,EACH,No Par,No Par
,,,,,,,
1119,"Singha, Lager, Thailand, [12oz Bottle] (12 oz)",,$1.35 ,_________,EACH,No Par,No Par
,,,,,,,
1124,"Kirin, ""Ichiban"", USA, [12oz Bottle] (24/12 OZ)",,$0.89 ,_________,BOTTLE,No Par,No Par
,,,,,,,
19606,"DC Brau, IPA, ""The Corruption"", Washington D.C., USA, [12oz Bottle] (12oz)",,$1.53 ,_________,EACH,No Par,No Par
,,,,,,,
90250,"Lagunitas, Ale, ""a Little Sumpin' Sumpin'"", USA, [12oz Can] (12oz)",,$1.38 ,_________,EACH,No Par,No Par
,,,,,,,
90381,"Heineken, Lager, Non-Alcoholic, ""0.0"", Holland, [330ml Bottle] (330ml)",,$1.25 ,_________,EACH,No Par,No Par
,,,,,,,
90249,"Right Proper, Lager, ""Senate"", Washington D.C., USA, [12oz Can] (12oz)",,$1.53 ,_________,EACH,No Par,No Par
,,,,,,,
85457,"Vodka, Ketel One, Peach & Orange Blossom, ""Botanical"", Holland (750ml)",,$34.99 ,_________,EACH,No Par,No Par
,,,,,,,
85456,"Vodka, Ketel One, Grapefruit & Rose, ""Botanical"", Holland (750ml)",,$34.99 ,_________,EACH,No Par,No Par
,,,,,,,
